iter	Passed	Remaining
0	106	106094
1	106	53326
2	107	35694
3	107	26877
4	108	21576
5	108	18053
6	109	15544
7	110	13656
8	110	12180
9	111	10999
10	111	10037
11	112	9238
12	112	8565
13	113	7980
14	113	7476
15	114	7031
16	114	6647
17	115	6302
18	116	5992
19	116	5713
20	117	5464
21	117	5236
22	118	5026
23	118	4834
24	119	4656
25	119	4490
26	120	4338
27	120	4197
28	121	4066
29	121	3942
30	122	3827
31	122	3719
32	123	3618
33	123	3521
34	124	3431
35	124	3346
36	125	3265
37	125	3188
38	126	3115
39	126	3045
40	127	2980
41	127	2917
42	128	2857
43	128	2799
44	129	2744
45	129	2695
46	130	2645
47	130	2597
48	131	2554
49	132	2519
50	133	2477
51	133	2439
52	134	2400
53	134	2364
54	135	2328
55	136	2294
56	136	2260
57	137	2227
58	137	2196
59	138	2166
60	138	2137
61	139	2108
62	140	2082
63	140	2057
64	141	2031
65	141	2006
66	142	1982
67	142	1955
68	143	1933
69	143	1910
70	144	1889
71	144	1868
72	145	1850
73	146	1830
74	146	1812
75	147	1794
76	148	1775
77	148	1756
78	149	1738
79	149	1721
80	150	1703
81	150	1687
82	151	1672
83	151	1656
84	152	1639
85	152	1624
86	153	1608
87	153	1594
88	154	1580
89	154	1566
90	155	1552
91	156	1539
92	156	1527
93	157	1514
94	157	1502
95	158	1490
96	158	1477
97	159	1465
98	159	1454
99	160	1442
100	160	1432
101	161	1419
102	161	1408
103	162	1398
104	162	1388
105	163	1378
106	164	1368
107	164	1359
108	165	1350
109	165	1341
110	166	1331
111	166	1321
112	167	1312
113	167	1303
114	168	1294
115	168	1284
116	169	1276
117	169	1267
118	170	1259
119	170	1250
120	171	1243
121	171	1235
122	171	1225
123	172	1217
124	172	1209
125	173	1202
126	173	1194
127	174	1186
128	174	1178
129	175	1171
130	175	1164
131	176	1158
132	176	1152
133	177	1146
134	177	1140
135	178	1133
136	179	1127
137	179	1120
138	179	1114
139	180	1108
140	180	1102
141	181	1096
142	181	1090
143	182	1084
144	183	1079
145	183	1073
146	184	1068
147	184	1062
148	185	1056
149	185	1051
150	186	1046
151	186	1040
152	187	1035
153	187	1030
154	188	1025
155	188	1019
156	188	1014
157	189	1009
158	189	1004
159	190	999
160	191	995
161	191	991
162	192	986
163	192	982
164	193	977
165	193	973
166	194	968
167	194	964
168	195	959
169	195	955
170	196	950
171	196	946
172	197	942
173	197	937
174	198	933
175	198	929
176	199	925
177	199	921
178	200	917
179	200	913
180	200	908
181	201	904
182	201	901
183	202	897
184	202	894
185	203	890
186	203	886
187	204	882
188	204	879
189	205	875
190	205	871
191	206	868
192	206	865
193	207	862
194	208	859
195	208	855
196	209	852
197	209	848
198	210	845
199	210	842
200	211	839
201	211	835
202	212	832
203	212	829
204	213	826
205	213	823
206	214	820
207	214	816
208	215	813
209	215	810
210	216	807
211	216	804
212	216	801
213	217	798
214	217	795
215	218	792
216	218	789
217	219	786
218	219	784
219	220	781
220	221	779
221	221	776
222	222	774
223	222	772
224	223	769
225	223	766
226	224	763
227	224	761
228	225	758
229	225	756
230	226	753
231	226	750
232	227	748
233	227	745
234	228	743
235	228	740
236	229	738
237	229	735
238	230	733
239	230	730
240	231	728
241	231	726
242	232	723
243	232	721
244	233	718
245	233	716
246	234	714
247	234	711
248	235	709
249	235	707
250	236	705
251	236	703
252	237	700
253	238	699
254	238	696
255	239	694
256	239	692
257	240	690
258	240	688
259	241	686
260	241	684
261	242	681
262	242	679
263	243	677
264	243	675
265	244	673
266	244	671
267	245	669
268	245	667
269	246	665
270	246	663
271	247	661
272	247	659
273	248	657
274	248	655
275	248	653
276	249	651
277	249	649
278	250	647
279	250	645
280	251	643
281	251	641
282	252	639
283	253	638
284	253	636
285	254	634
286	254	632
287	255	630
288	255	628
289	256	627
290	256	625
291	257	623
292	257	621
293	258	620
294	258	618
295	259	616
296	259	614
297	260	613
298	260	611
299	261	609
300	261	607
301	262	606
302	262	604
303	263	602
304	263	600
305	264	599
306	264	597
307	265	595
308	265	594
309	266	593
310	267	591
311	267	590
312	268	588
313	268	587
314	269	585
315	269	583
316	270	582
317	270	580
318	271	578
319	271	577
320	272	575
321	272	574
322	273	572
323	273	571
324	274	569
